,bulk,SUB,ROI
417,75,5,vvs
418,76,5,vvs
419,77,5,vvs
420,78,5,vvs
421,79,5,vvs
422,80,5,vvs
423,81,5,vvs
424,82,5,vvs
425,83,5,vvs
426,84,5,vvs
427,85,5,vvs
428,86,5,vvs
429,87,5,vvs
430,88,5,vvs
431,89,5,vvs
432,0,6,vvs
433,1,6,vvs
434,2,6,vvs
435,3,6,vvs
436,4,6,vvs
437,5,6,vvs
438,6,6,vvs
439,7,6,vvs
440,8,6,vvs
441,9,6,vvs
442,10,6,vvs
443,11,6,vvs
444,12,6,vvs
445,13,6,vvs
446,14,6,vvs
447,15,6,vvs
448,16,6,vvs
449,17,6,vvs
450,18,6,vvs
451,19,6,vvs
452,20,6,vvs
453,21,6,vvs
454,22,6,vvs
455,23,6,vvs
456,24,6,vvs
457,25,6,vvs
458,26,6,vvs
459,27,6,vvs
460,28,6,vvs
461,29,6,vvs
462,30,6,vvs
463,31,6,vvs
464,32,6,vvs
465,33,6,vvs
466,34,6,vvs
467,35,6,vvs
468,36,6,vvs
469,37,6,vvs
470,38,6,vvs
471,39,6,vvs
472,40,6,vvs
473,41,6,vvs
474,42,6,vvs
475,43,6,vvs
476,44,6,vvs
477,45,6,vvs
478,46,6,vvs
479,47,6,vvs
480,48,6,vvs
481,49,6,vvs
482,50,6,vvs
483,51,6,vvs
484,52,6,vvs
485,53,6,vvs
486,54,6,vvs
487,55,6,vvs
488,56,6,vvs
489,57,6,vvs
490,58,6,vvs
491,59,6,vvs
492,60,6,vvs
493,61,6,vvs
494,62,6,vvs
495,63,6,vvs
496,64,6,vvs
497,65,6,vvs
498,66,6,vvs
499,67,6,vvs
500,68,6,vvs
501,69,6,vvs
502,70,6,vvs
503,71,6,vvs
504,72,6,vvs
505,73,6,vvs
506,74,6,vvs
507,75,6,vvs
508,76,6,vvs
509,77,6,vvs
510,78,6,vvs
511,79,6,vvs
512,80,6,vvs
513,81,6,vvs
514,0,7,vvs
515,1,7,vvs
516,2,7,vvs
517,3,7,vvs
518,4,7,vvs
519,5,7,vvs
520,6,7,vvs
521,7,7,vvs
522,8,7,vvs
523,9,7,vvs
524,10,7,vvs
525,11,7,vvs
526,12,7,vvs
527,13,7,vvs
528,14,7,vvs
529,15,7,vvs
530,16,7,vvs
531,17,7,vvs
532,18,7,vvs
533,19,7,vvs
534,20,7,vvs
535,21,7,vvs
536,22,7,vvs
537,23,7,vvs
538,24,7,vvs
539,25,7,vvs
540,26,7,vvs
541,27,7,vvs
542,28,7,vvs
543,29,7,vvs
544,30,7,vvs
545,31,7,vvs
546,32,7,vvs
547,33,7,vvs
548,34,7,vvs
549,35,7,vvs
550,36,7,vvs
551,37,7,vvs
552,38,7,vvs
553,39,7,vvs
554,40,7,vvs
555,41,7,vvs
556,42,7,vvs
557,43,7,vvs
558,44,7,vvs
559,45,7,vvs
560,46,7,vvs
561,47,7,vvs
562,48,7,vvs
563,49,7,vvs
564,50,7,vvs
565,51,7,vvs
566,52,7,vvs
567,53,7,vvs
568,54,7,vvs
569,55,7,vvs
570,56,7,vvs
571,57,7,vvs
572,58,7,vvs
573,59,7,vvs
574,60,7,vvs
575,61,7,vvs
576,62,7,vvs
577,63,7,vvs
578,64,7,vvs
579,65,7,vvs
580,66,7,vvs
581,67,7,vvs
582,68,7,vvs
583,69,7,vvs
584,70,7,vvs
585,71,7,vvs
586,72,7,vvs
587,73,7,vvs
588,74,7,vvs
589,75,7,vvs
590,76,7,vvs
591,77,7,vvs
592,78,7,vvs
593,79,7,vvs
594,80,7,vvs
595,81,7,vvs
596,82,7,vvs
597,83,7,vvs
598,84,7,vvs
599,85,7,vvs
600,86,7,vvs
601,87,7,vvs
602,88,7,vvs
603,89,7,vvs
604,0,8,vvs
605,1,8,vvs
606,2,8,vvs
607,3,8,vvs
608,4,8,vvs
609,5,8,vvs
610,6,8,vvs
611,7,8,vvs
612,8,8,vvs
613,9,8,vvs
614,10,8,vvs
615,11,8,vvs
616,12,8,vvs
617,13,8,vvs
618,14,8,vvs
619,15,8,vvs
620,16,8,vvs
621,17,8,vvs
622,18,8,vvs
623,19,8,vvs
624,20,8,vvs
625,21,8,vvs
626,22,8,vvs
627,23,8,vvs
628,24,8,vvs
629,25,8,vvs
630,26,8,vvs
631,27,8,vvs
632,28,8,vvs
633,29,8,vvs
634,30,8,vvs
635,31,8,vvs
636,32,8,vvs
637,33,8,vvs
638,34,8,vvs
639,35,8,vvs
640,36,8,vvs
641,37,8,vvs
642,38,8,vvs
643,39,8,vvs
644,40,8,vvs
645,41,8,vvs
646,42,8,vvs
647,43,8,vvs
648,44,8,vvs
649,45,8,vvs
650,46,8,vvs
651,47,8,vvs
652,48,8,vvs
653,49,8,vvs
654,50,8,vvs
655,51,8,vvs
656,52,8,vvs
657,53,8,vvs
658,54,8,vvs
659,55,8,vvs
660,56,8,vvs
661,57,8,vvs
662,58,8,vvs
663,59,8,vvs
664,60,8,vvs
665,61,8,vvs
666,62,8,vvs
667,63,8,vvs
668,64,8,vvs
669,65,8,vvs
670,66,8,vvs
671,67,8,vvs
672,68,8,vvs
673,69,8,vvs
674,70,8,vvs
675,71,8,vvs
676,72,8,vvs
677,73,8,vvs
678,74,8,vvs
679,75,8,vvs
680,76,8,vvs
681,77,8,vvs
682,78,8,vvs
683,79,8,vvs
684,0,1,A1
685,1,1,A1
686,2,1,A1
687,3,1,A1
688,4,1,A1
689,5,1,A1
690,6,1,A1
691,7,1,A1
692,8,1,A1
693,9,1,A1
694,10,1,A1
695,11,1,A1
696,12,1,A1
697,13,1,A1
698,14,1,A1
699,15,1,A1
700,16,1,A1
701,17,1,A1
702,18,1,A1
703,19,1,A1
704,20,1,A1
705,21,1,A1
706,22,1,A1
707,23,1,A1
708,24,1,A1
709,25,1,A1
710,26,1,A1
711,27,1,A1
712,28,1,A1
713,29,1,A1
714,30,1,A1
715,31,1,A1
716,32,1,A1
717,33,1,A1
718,34,1,A1
719,35,1,A1
720,36,1,A1
721,37,1,A1
722,38,1,A1
723,39,1,A1
724,40,1,A1
725,41,1,A1
726,42,1,A1
727,43,1,A1
728,44,1,A1
729,45,1,A1
730,46,1,A1
731,47,1,A1
732,48,1,A1
733,49,1,A1
734,50,1,A1
735,51,1,A1
736,52,1,A1
737,53,1,A1
738,54,1,A1
739,55,1,A1
740,56,1,A1
741,57,1,A1
742,58,1,A1
743,59,1,A1
744,60,1,A1
745,61,1,A1
746,62,1,A1
747,63,1,A1
748,64,1,A1
749,65,1,A1
750,66,1,A1
751,67,1,A1
752,68,1,A1
753,69,1,A1
754,70,1,A1
755,71,1,A1
756,72,1,A1
757,73,1,A1
758,74,1,A1
759,75,1,A1
760,76,1,A1
761,77,1,A1
762,78,1,A1
763,79,1,A1
764,80,1,A1
765,81,1,A1
766,82,1,A1
767,83,1,A1
768,84,1,A1
769,85,1,A1
770,86,1,A1
771,87,1,A1
772,88,1,A1
773,89,1,A1
774,0,2,A1
775,1,2,A1
776,2,2,A1
777,3,2,A1
778,4,2,A1
779,5,2,A1
780,6,2,A1
781,7,2,A1
782,8,2,A1
783,9,2,A1
784,10,2,A1
785,11,2,A1
786,12,2,A1
787,13,2,A1
788,14,2,A1
789,15,2,A1
790,16,2,A1
791,17,2,A1
792,18,2,A1
793,19,2,A1
794,20,2,A1
795,21,2,A1
796,22,2,A1
797,23,2,A1
798,24,2,A1
799,25,2,A1
800,26,2,A1
801,27,2,A1
802,28,2,A1
803,29,2,A1
804,30,2,A1
805,31,2,A1
806,32,2,A1
807,33,2,A1
808,34,2,A1
809,35,2,A1
810,36,2,A1
811,37,2,A1
812,38,2,A1
813,39,2,A1
814,40,2,A1
815,41,2,A1
816,42,2,A1
817,43,2,A1
818,44,2,A1
819,45,2,A1
820,46,2,A1
821,47,2,A1
822,48,2,A1
823,49,2,A1
824,50,2,A1
825,51,2,A1
826,52,2,A1
827,53,2,A1
828,54,2,A1
829,55,2,A1
830,56,2,A1
831,57,2,A1
832,58,2,A1
833,59,2,A1
834,60,2,A1
835,61,2,A1
836,62,2,A1
837,63,2,A1
838,64,2,A1
839,65,2,A1
840,66,2,A1
841,67,2,A1
842,68,2,A1
843,69,2,A1
844,70,2,A1
845,71,2,A1
846,72,2,A1
847,73,2,A1
848,74,2,A1
849,75,2,A1
850,76,2,A1
851,77,2,A1
852,78,2,A1
853,79,2,A1
854,80,2,A1
855,81,2,A1
856,82,2,A1
857,83,2,A1
858,84,2,A1
859,85,2,A1
860,86,2,A1
861,87,2,A1
862,88,2,A1
863,89,2,A1
864,0,3,A1
865,1,3,A1
866,2,3,A1
867,3,3,A1
868,4,3,A1
869,5,3,A1
870,6,3,A1
871,7,3,A1
872,8,3,A1
873,9,3,A1
874,10,3,A1
875,11,3,A1
876,12,3,A1
877,13,3,A1
878,14,3,A1
879,15,3,A1
880,16,3,A1
881,17,3,A1
882,18,3,A1
883,19,3,A1
884,20,3,A1
885,21,3,A1
886,22,3,A1
887,23,3,A1
888,24,3,A1
889,25,3,A1
890,26,3,A1
891,27,3,A1
892,28,3,A1
893,29,3,A1
894,30,3,A1
895,31,3,A1
896,32,3,A1
897,33,3,A1
898,34,3,A1
899,35,3,A1
900,36,3,A1
901,37,3,A1
902,38,3,A1
903,39,3,A1
904,40,3,A1
905,41,3,A1
906,42,3,A1
907,43,3,A1
908,44,3,A1
909,45,3,A1
910,46,3,A1
911,47,3,A1
912,48,3,A1
913,49,3,A1
914,50,3,A1
915,51,3,A1
916,52,3,A1
917,53,3,A1
918,54,3,A1
919,55,3,A1
920,56,3,A1
921,57,3,A1
922,58,3,A1
923,59,3,A1
924,60,3,A1
925,61,3,A1
926,62,3,A1
927,63,3,A1
928,64,3,A1
929,65,3,A1
930,66,3,A1
931,67,3,A1
932,68,3,A1
933,69,3,A1
934,70,3,A1
935,71,3,A1
936,72,3,A1
937,73,3,A1
938,74,3,A1
939,75,3,A1
940,76,3,A1
941,77,3,A1
942,78,3,A1
943,79,3,A1
944,80,3,A1
945,81,3,A1
946,0,4,A1
947,1,4,A1
948,2,4,A1
949,3,4,A1
950,4,4,A1
951,5,4,A1
952,6,4,A1
953,7,4,A1
954,8,4,A1
955,9,4,A1
956,10,4,A1
957,11,4,A1
958,12,4,A1
959,13,4,A1
960,14,4,A1
961,15,4,A1
962,16,4,A1
963,17,4,A1
964,18,4,A1
965,19,4,A1
966,20,4,A1
967,21,4,A1
968,22,4,A1
969,23,4,A1
970,24,4,A1
971,25,4,A1
972,26,4,A1
973,27,4,A1
974,28,4,A1
975,29,4,A1
976,30,4,A1
977,31,4,A1
978,32,4,A1
979,33,4,A1
980,34,4,A1
981,35,4,A1
982,36,4,A1
983,37,4,A1
984,38,4,A1
985,39,4,A1
986,40,4,A1
987,41,4,A1
988,42,4,A1
989,43,4,A1
990,44,4,A1
991,45,4,A1
992,46,4,A1
993,47,4,A1
994,48,4,A1
995,49,4,A1
996,50,4,A1
997,51,4,A1
998,52,4,A1
999,53,4,A1
1000,54,4,A1
1001,55,4,A1
1002,56,4,A1
1003,57,4,A1
1004,58,4,A1
1005,59,4,A1
1006,60,4,A1
1007,61,4,A1
1008,62,4,A1
1009,63,4,A1
1010,64,4,A1
1011,65,4,A1
1012,66,4,A1
1013,67,4,A1
1014,68,4,A1
1015,69,4,A1
1016,70,4,A1
1017,71,4,A1
1018,72,4,A1
1019,73,4,A1
1020,74,4,A1
1021,75,4,A1
1022,76,4,A1
1023,77,4,A1
1024,78,4,A1
1025,79,4,A1
1026,0,5,A1
1027,1,5,A1
1028,2,5,A1
1029,3,5,A1
1030,4,5,A1
1031,5,5,A1
1032,6,5,A1
1033,7,5,A1
1034,8,5,A1
1035,9,5,A1
1036,10,5,A1
1037,11,5,A1
1038,12,5,A1
1039,13,5,A1
1040,14,5,A1
1041,15,5,A1
1042,16,5,A1
1043,17,5,A1
1044,18,5,A1
1045,19,5,A1
1046,20,5,A1
1047,21,5,A1
1048,22,5,A1
1049,23,5,A1
1050,24,5,A1
1051,25,5,A1
1052,26,5,A1
1053,27,5,A1
1054,28,5,A1
1055,29,5,A1
1056,30,5,A1
1057,31,5,A1
1058,32,5,A1
1059,33,5,A1
1060,34,5,A1
1061,35,5,A1
1062,36,5,A1
1063,37,5,A1
1064,38,5,A1
1065,39,5,A1
1066,40,5,A1
1067,41,5,A1
1068,42,5,A1
1069,43,5,A1
1070,44,5,A1
1071,45,5,A1
1072,46,5,A1
1073,47,5,A1
1074,48,5,A1
1075,49,5,A1
1076,50,5,A1
1077,51,5,A1
1078,52,5,A1
1079,53,5,A1
1080,54,5,A1
1081,55,5,A1
1082,56,5,A1
1083,57,5,A1
1084,58,5,A1
1085,59,5,A1
1086,60,5,A1
1087,61,5,A1
1088,62,5,A1
1089,63,5,A1
1090,64,5,A1
1091,65,5,A1
1092,66,5,A1
1093,67,5,A1
1094,68,5,A1
1095,69,5,A1
1096,70,5,A1
1097,71,5,A1
1098,72,5,A1
1099,73,5,A1
1100,74,5,A1
1101,75,5,A1
1102,76,5,A1
1103,77,5,A1
1104,78,5,A1
1105,79,5,A1
1106,80,5,A1
1107,81,5,A1
1108,82,5,A1
1109,83,5,A1
1110,84,5,A1
1111,85,5,A1
1112,86,5,A1
1113,87,5,A1
1114,88,5,A1
1115,89,5,A1
1116,0,6,A1
1117,1,6,A1
1118,2,6,A1
1119,3,6,A1
1120,4,6,A1
1121,5,6,A1
1122,6,6,A1
