,Bulk,SUB,ROI
656,66,8,vvs
657,67,8,vvs
658,68,8,vvs
659,0,8,A1
660,1,8,A1
661,2,8,A1
662,3,8,A1
663,4,8,A1
664,5,8,A1
665,6,8,A1
666,7,8,A1
667,8,8,A1
668,9,8,A1
669,10,8,A1
670,11,8,A1
671,12,8,A1
672,13,8,A1
673,14,8,A1
674,15,8,A1
675,16,8,A1
